Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/01/2025,09/01/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-10.55,
09/01/2025,09/01/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-16.22,
09/01/2025,09/01/2025,SAFEWAY #1842 FREMONT CA,,Sale,-80.55,
09/02/2025,09/02/2025,PUBLIX #1397 MIAMI FL,,Sale,-91.38,
09/02/2025,09/02/2025,SHELL OIL 57444216508,,Sale,-8.54,
09/03/2025,09/03/2025,AWS EMEA aws.amazon.co,,Sale,-46.46,
09/03/2025,09/03/2025,NETFLIX.COM,,Sale,-24.99,
09/03/2025,09/03/2025,PAYPAL *ETSY INC 4029357733,,Sale,-21.41,
09/03/2025,09/03/2025,PAYPAL *ETSY INC 4029357733,,Sale,-65.05,
09/03/2025,09/03/2025,TST* TARTINE BAKERY 0091,,Sale,-7.34,
09/04/2025,09/04/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-53.96,
09/04/2025,09/04/2025,PSP*convenient store NY,,Sale,-34.86,
09/04/2025,09/04/2025,TARGET T-2213 UNION CITY CA,,Sale,-24.70,
09/05/2025,09/05/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-43.04,
09/05/2025,09/05/2025,SHELL OIL 57444216508,,Sale,-93.13,
09/05/2025,09/05/2025,TARGET T-2213 UNION CITY CA,,Sale,-7.32,
09/07/2025,09/07/2025,AMZN Prime Membership,,Sale,-14.99,
09/07/2025,09/07/2025,PUBLIX #1397 MIAMI FL,,Sale,-88.91,
09/07/2025,09/07/2025,TARGET T-2213 UNION CITY CA,,Sale,-64.21,
09/08/2025,09/08/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-64.25,
09/08/2025,09/08/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-65.86,
09/09/2025,09/09/2025,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
09/10/2025,09/10/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-83.44,
09/11/2025,09/11/2025,APPLE.COM/BILL,,Sale,-16.99,
09/12/2025,09/12/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-23.79,
09/12/2025,09/12/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-91.23,
09/12/2025,09/12/2025,SQ *PHILZ COFFEE,,Sale,-80.67,
09/13/2025,09/13/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-66.53,
09/13/2025,09/13/2025,VENMO*PAYMENT,,Sale,-24.04,
09/14/2025,09/14/2025,SUPER+ *1833-773-8471,,Sale,-8.99,
09/14/2025,09/14/2025,TST* TARTINE BAKERY 0091,,Sale,-69.33,
09/15/2025,09/15/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-27.20,
09/18/2025,09/18/2025,PSP*convenient store NY,,Sale,-93.74,
09/19/2025,09/19/2025,BT*HBO MAX 877-871-4204,,Sale,-16.99,
09/19/2025,09/19/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-36.12,
09/20/2025,09/20/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-92.04,
09/20/2025,09/20/2025,PAYPAL *ETSY INC 4029357733,,Sale,-41.66,
09/20/2025,09/20/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-27.07,
09/22/2025,09/22/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-43.92,
09/22/2025,09/22/2025,SQ *PHILZ COFFEE,,Sale,-19.04,
09/23/2025,09/23/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-5.27,
09/23/2025,09/23/2025,VENMO*PAYMENT,,Sale,-80.90,
09/24/2025,09/24/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-80.26,
09/25/2025,09/25/2025,GOOGLE*HULU,,Sale,-9.99,
09/25/2025,09/25/2025,PSP*convenient store NY,,Sale,-43.06,
09/25/2025,09/25/2025,VENMO*PAYMENT,,Sale,-44.35,
09/26/2025,09/26/2025,TARGET T-2213 UNION CITY CA,,Sale,-44.98,
09/26/2025,09/26/2025,VENMO*PAYMENT,,Sale,-50.85,
09/27/2025,09/27/2025,PAYPAL *ETSY INC 4029357733,,Sale,-41.98,
09/27/2025,09/27/2025,TST* TARTINE BAKERY 0091,,Sale,-74.43,
09/27/2025,09/27/2025,TST* TARTINE BAKERY 0091,,Sale,-76.49,
09/28/2025,09/28/2025,ZXC* Site Access 800-123-4567,,Sale,-12.00,
09/30/2025,09/30/2025,SHELL OIL 57444216508,,Sale,-82.49,
09/30/2025,09/30/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-86.22,
09/30/2025,09/30/2025,TRADER JOE'S #123 FREMONT CA,,Sale,-67.57,
10/01/2025,10/01/2025,7-ELEVEN 33812 FREMONT CA,,Sale,-31.09,
10/03/2025,10/03/2025,AMAZON WEB SERVICES AWS.AMAZON.CO,,Sale,-56.18,
10/03/2025,10/03/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-36.08,
10/03/2025,10/03/2025,NETFLIX 866-579-7172 LOS GATOS CA,,Sale,-24.99,
10/03/2025,10/03/2025,PSP*convenient store NY,,Sale,-57.62,
10/03/2025,10/03/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-14.91,
10/04/2025,10/04/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-71.44,
10/04/2025,10/04/2025,TST* TARTINE BAKERY 0091,,Sale,-32.07,
10/05/2025,10/05/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-45.04,
10/05/2025,10/05/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-90.43,
10/05/2025,10/05/2025,SAFEWAY #1842 FREMONT CA,,Sale,-90.48,
10/06/2025,10/06/2025,IN N OUT BURGER 234,,Sale,-16.17,
10/06/2025,10/06/2025,IN N OUT BURGER 234,,Sale,-58.81,
10/07/2025,10/07/2025,AMZN Prime Membership,,Sale,-14.99,
10/07/2025,10/07/2025,CHEVRON 0345678 UNION CITY CA,,Sale,-46.88,
10/07/2025,10/07/2025,VENMO*PAYMENT,,Sale,-59.65,
10/08/2025,10/08/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-8.84,
10/08/2025,10/08/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-64.54,
10/08/2025,10/08/2025,PSP*convenient store NY,,Sale,-76.99,
10/09/2025,10/09/2025,AMZN Mktp US*2K4LM9DX3,,Sale,-16.64,
10/09/2025,10/09/2025,CLAUDE.AI SUBSCRIPTION,,Sale,-20.00,
10/09/2025,10/09/2025,PSP*convenient store NY,,Sale,-27.11,
10/09/2025,10/09/2025,SQ *PHILZ COFFEE,,Sale,-12.26,
10/10/2025,10/10/2025,PAYPAL *ETSY INC 4029357733,,Sale,-13.78,
10/11/2025,10/11/2025,APPLE.COM/BILL 866-712-7753,,Sale,-16.99,
10/11/2025,10/11/2025,COSTCO WHSE #1229 MIAMI FL,,Sale,-74.54,
10/11/2025,10/11/2025,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-53.26,
10/11/2025,10/11/2025,TARGET T-2213 UNION CITY CA,,Sale,-75.78,
10/12/2025,10/12/2025,SAFEWAY #1842 FREMONT CA,,Sale,-26.68,
